ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name,park_type,User Category
602,128,Daly Grove School,1888 37 Street NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2005/12/31,53.448962,-113.399289,"(53.4489622122654, -113.3992886542126)",POINT (-113.3992886542126 53.4489622122654),6150,DALY GROVE,play,Junior/Senior (18 months to 12 years)
432,1647,Robert Brett Park,56 Street - 134 A Avenue NW,Playground,Sand,Unknown,,Parks,1976/12/31,53.596469,-113.427752,"(53.596468605342636, -113.42775211185825)",POINT (-113.42775211185825 53.596468605342636),2080,BELVEDERE,play,Junior (18 months to 5 years)
116,3728,David Thomas King School Playground,600 Secord Boulevard NW,Playground,Sand,Wheelchair Accessible,,Parks,2019/10/31,53.53595,-113.707005,"(53.53594969637662, -113.70700454482605)",POINT (-113.70700454482605 53.53594969637662),4487,SECORD,play,Junior/Senior (18 months to 12 years)
668,67,Abbottsfield Park,12000 Abbottsfield Road NW,Playground,Sand,Unknown,,Parks,2016/12/31,53.573682,-113.390049,"(53.573682332156096, -113.39004907641561)",POINT (-113.39004907641561 53.573682332156096),2010,ABBOTTSFIELD,play,Junior/Senior (18 months to 12 years)
625,1927,Gold Bar Condos,4404 - 101 AVENUE NW,Playground,Sand,Unknown,,Parks,1979/12/31,53.542681,-113.409532,"(53.54268075480997, -113.40953158837462)",POINT (-113.40953158837462 53.54268075480997),6620,RIVER VALLEY GOLD BAR,play,Senior (6 to 12 years)
929,3774,Arbours of Keswick Playground,1375 Keswick Drive SW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2021/04/01,53.412257,-113.630474,"(53.41225715053366, -113.63047357787536)",POINT (-113.63047357787536 53.41225715053366),5574,KESWICK,play,Senior (6 to 12 years)
738,3373,Belmead School Playground,9109 182 Street NW,Playground,Sand,Unknown,,Parks,2000/12/31,53.52585,-113.635969,"(53.52584985121267, -113.63596930468589)",POINT (-113.63596930468589 53.52584985121267),4040,BELMEAD,play,Junior/Senior (18 months to 12 years)
387,77,Ormsby Playground,6315 184 Street NW,Playground,Sand,Unknown,,Parks,2004/12/31,53.497388,-113.637123,"(53.49738784926636, -113.6371231845356)",POINT (-113.6371231845356 53.49738784926636),4380,ORMSBY PLACE,play,Junior/Senior (18 months to 12 years)
324,307,Lendrum Elementary School (EPSB),11330 54 Avenue NW,Playground,Sand,Unknown,,Parks,1996/12/31,53.491384,-113.522979,"(53.49138431016448, -113.52297861004715)",POINT (-113.52297861004715 53.49138431016448),5270,LENDRUM PLACE,play,Junior/Senior (18 months to 12 years)
560,588,Charles Simmonds Park,7830 115 Street NW,Playground,Sand,Unknown,,Parks,1977/12/31,53.515598,-113.530591,"(53.51559848274364, -113.53059078726804)",POINT (-113.53059078726804 53.51559848274364),5290,MCKERNAN,play,Junior/Senior (18 months to 12 years)
