ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,User Category,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
821,325,Twin Brooks Playground (George Nicholson School),12 Avenue - 113 Street NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2023/10/17,53.443118,-113.526782,"(53.443117560823694, -113.52678160855368)",POINT (-113.52678160855368 53.443117560823694),5511,TWIN BROOKS
420,27,St. Patrick School,10250 95A Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2000/12/31,53.574341,-113.489408,"(53.57434071386575, -113.48940778600266)",POINT (-113.48940778600266 53.57434071386575),1010,ALBERTA AVENUE
761,241,Aspen Gardens Community League,12015 39A Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2003/12/31,53.474992,-113.542606,"(53.474991913720956, -113.54260623447898)",POINT (-113.54260623447898 53.474991913720956),5020,ASPEN GARDENS
450,1940,Rosslyn Neighbourhood Park Playground,13535 104 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1970/12/31,53.598077,-113.498546,"(53.59807747133354, -113.49854623448132)",POINT (-113.49854623448132 53.59807747133354),3390,ROSSLYN
863,3730,Cavanagh - Stage 9 MR,2077 Cavanagh Drive SW,Playground,Engineered Wood Fibre,Unknown,Junior/Senior (18 months to 12 years),Parks,2020/04/22,53.406811,-113.510915,"(53.40681062508288, -113.51091484328106)",POINT (-113.51091484328106 53.40681062508288),5467,CAVANAGH
141,3660,Windermere Ridge Park,107 Windermere Dr,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2016/03/22,53.440594,-113.629773,"(53.44059363950282, -113.62977276028528)",POINT (-113.62977276028528 53.44059363950282),5570,WINDERMERE
661,264,Brittania Youngstown Community League,15927 105 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1996/12/31,53.548303,-113.598051,"(53.548303167785335, -113.59805125854594)",POINT (-113.59805125854594 53.548303167785335),4060,BRITANNIA YOUNGSTOWN
669,75,Afton Playground,16604 91 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2005/12/31,53.526923,-113.608711,"(53.5269227340645, -113.60871065809407)",POINT (-113.60871065809407 53.5269227340645),4590,WEST MEADOWLARK PARK
701,613,Allendale Park,10535 66 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1996/12/31,53.500902,-113.502348,"(53.50090247388002, -113.5023480607766)",POINT (-113.5023480607766 53.50090247388002),5010,ALLENDALE
546,1665,Eastwood Community League,8524 118 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,Senior (6 to 12 years),Parks,2005/12/31,53.570951,-113.472140,"(53.57095100900314, -113.47214049513443)",POINT (-113.47214049513443 53.57095100900314),1100,EASTWOOD
